Year,State,CoC Number,Measures,Count
1/1/15,VA,VA-514,Children of Parenting Youth,9
1/1/15,VA,VA-514,Chronically Homeless,51
1/1/15,VA,VA-514,Chronically Homeless Individuals,42
1/1/15,VA,VA-514,Chronically Homeless People in Families,9
1/1/15,VA,VA-514,Homeless Individuals,123
1/1/15,VA,VA-514,Homeless People in Families,94
1/1/15,VA,VA-514,Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-514,Homeless Unaccompanied Young Adults (Age 18-24),13
1/1/15,VA,VA-514,Homeless Unaccompanied Youth (Under 25),13
1/1/15,VA,VA-514,Homeless Veterans,13
1/1/15,VA,VA-514,Parenting Youth (Under 25),5
1/1/15,VA,VA-514,Parenting Youth Age 18-24,5
1/1/15,VA,VA-514,Parenting Youth Under 18,0
1/1/15,VA,VA-514,Sheltered Children of Parenting Youth,9
1/1/15,VA,VA-514,Sheltered Chronically Homeless,17
1/1/15,VA,VA-514,Sheltered Chronically Homeless Individuals,17
1/1/15,VA,VA-514,Sheltered Chronically Homeless People in Families,0
1/1/15,VA,VA-514,Sheltered Homeless,179
1/1/15,VA,VA-514,Sheltered Homeless Individuals,94
1/1/15,VA,VA-514,Sheltered Homeless People in Families,85
1/1/15,VA,VA-514,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-514,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),9
1/1/15,VA,VA-514,Sheltered Homeless Unaccompanied Youth (Under 25),9
1/1/15,VA,VA-514,Sheltered Homeless Veterans,9
1/1/15,VA,VA-514,Sheltered Parenting Youth (Under 25),5
1/1/15,VA,VA-514,Sheltered Parenting Youth Age 18-24,5
1/1/15,VA,VA-514,Sheltered Parenting Youth Under 18,0
1/1/15,VA,VA-514,Total Homeless,217
1/1/15,VA,VA-514,Unsheltered Children of Parenting Youth,0
1/1/15,VA,VA-514,Unsheltered Chronically Homeless,34
1/1/15,VA,VA-514,Unsheltered Chronically Homeless Individuals,25
1/1/15,VA,VA-514,Unsheltered Chronically Homeless People in Families,9
1/1/15,VA,VA-514,Unsheltered Homeless,38
1/1/15,VA,VA-514,Unsheltered Homeless Individuals,29
1/1/15,VA,VA-514,Unsheltered Homeless People in Families,9
1/1/15,VA,VA-514,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-514,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),4
1/1/15,VA,VA-514,Unsheltered Homeless Unaccompanied Youth (Under 25),4
1/1/15,VA,VA-514,Unsheltered Homeless Veterans,4
1/1/15,VA,VA-514,Unsheltered Parenting Youth (Under 25),0
1/1/15,VA,VA-514,Unsheltered Parenting Youth Age 18-24,0
1/1/15,VA,VA-514,Unsheltered Parenting Youth Under 18,0
1/1/15,VA,VA-521,Children of Parenting Youth,24
1/1/15,VA,VA-521,Chronically Homeless,90
1/1/15,VA,VA-521,Chronically Homeless Individuals,57
1/1/15,VA,VA-521,Chronically Homeless People in Families,33
1/1/15,VA,VA-521,Homeless Individuals,431
1/1/15,VA,VA-521,Homeless People in Families,342
1/1/15,VA,VA-521,Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-521,Homeless Unaccompanied Young Adults (Age 18-24),31
1/1/15,VA,VA-521,Homeless Unaccompanied Youth (Under 25),31
1/1/15,VA,VA-521,Homeless Veterans,38
1/1/15,VA,VA-521,Parenting Youth (Under 25),19
1/1/15,VA,VA-521,Parenting Youth Age 18-24,19
1/1/15,VA,VA-521,Parenting Youth Under 18,0
1/1/15,VA,VA-521,Sheltered Children of Parenting Youth,23
1/1/15,VA,VA-521,Sheltered Chronically Homeless,42
1/1/15,VA,VA-521,Sheltered Chronically Homeless Individuals,27
1/1/15,VA,VA-521,Sheltered Chronically Homeless People in Families,15
1/1/15,VA,VA-521,Sheltered Homeless,634
1/1/15,VA,VA-521,Sheltered Homeless Individuals,320
1/1/15,VA,VA-521,Sheltered Homeless People in Families,314
1/1/15,VA,VA-521,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-521,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),25
1/1/15,VA,VA-521,Sheltered Homeless Unaccompanied Youth (Under 25),25
1/1/15,VA,VA-521,Sheltered Homeless Veterans,26
1/1/15,VA,VA-521,Sheltered Parenting Youth (Under 25),17
1/1/15,VA,VA-521,Sheltered Parenting Youth Age 18-24,17
1/1/15,VA,VA-521,Sheltered Parenting Youth Under 18,0
1/1/15,VA,VA-521,Total Homeless,773
1/1/15,VA,VA-521,Unsheltered Children of Parenting Youth,1
1/1/15,VA,VA-521,Unsheltered Chronically Homeless,48
1/1/15,VA,VA-521,Unsheltered Chronically Homeless Individuals,30
1/1/15,VA,VA-521,Unsheltered Chronically Homeless People in Families,18
1/1/15,VA,VA-521,Unsheltered Homeless,139
1/1/15,VA,VA-521,Unsheltered Homeless Individuals,111
1/1/15,VA,VA-521,Unsheltered Homeless People in Families,28
1/1/15,VA,VA-521,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-521,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),6
1/1/15,VA,VA-521,Unsheltered Homeless Unaccompanied Youth (Under 25),6
1/1/15,VA,VA-521,Unsheltered Homeless Veterans,12
1/1/15,VA,VA-521,Unsheltered Parenting Youth (Under 25),2
1/1/15,VA,VA-521,Unsheltered Parenting Youth Age 18-24,2
1/1/15,VA,VA-521,Unsheltered Parenting Youth Under 18,0
1/1/15,VA,VA-600,Children of Parenting Youth,10
1/1/15,VA,VA-600,Chronically Homeless,70
1/1/15,VA,VA-600,Chronically Homeless Individuals,68
1/1/15,VA,VA-600,Chronically Homeless People in Families,2
1/1/15,VA,VA-600,Homeless Individuals,164
1/1/15,VA,VA-600,Homeless People in Families,75
1/1/15,VA,VA-600,Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-600,Homeless Unaccompanied Young Adults (Age 18-24),5
1/1/15,VA,VA-600,Homeless Unaccompanied Youth (Under 25),5
1/1/15,VA,VA-600,Homeless Veterans,19
1/1/15,VA,VA-600,Parenting Youth (Under 25),8
1/1/15,VA,VA-600,Parenting Youth Age 18-24,8
1/1/15,VA,VA-600,Parenting Youth Under 18,0
1/1/15,VA,VA-600,Sheltered Children of Parenting Youth,10
1/1/15,VA,VA-600,Sheltered Chronically Homeless,51
1/1/15,VA,VA-600,Sheltered Chronically Homeless Individuals,49
1/1/15,VA,VA-600,Sheltered Chronically Homeless People in Families,2
1/1/15,VA,VA-600,Sheltered Homeless,200
1/1/15,VA,VA-600,Sheltered Homeless Individuals,125
1/1/15,VA,VA-600,Sheltered Homeless People in Families,75
1/1/15,VA,VA-600,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-600,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),5
1/1/15,VA,VA-600,Sheltered Homeless Unaccompanied Youth (Under 25),5
1/1/15,VA,VA-600,Sheltered Homeless Veterans,12
1/1/15,VA,VA-600,Sheltered Parenting Youth (Under 25),8
1/1/15,VA,VA-600,Sheltered Parenting Youth Age 18-24,8
1/1/15,VA,VA-600,Sheltered Parenting Youth Under 18,0
1/1/15,VA,VA-600,Total Homeless,239
1/1/15,VA,VA-600,Unsheltered Children of Parenting Youth,0
1/1/15,VA,VA-600,Unsheltered Chronically Homeless,19
1/1/15,VA,VA-600,Unsheltered Chronically Homeless Individuals,19
1/1/15,VA,VA-600,Unsheltered Chronically Homeless People in Families,0
1/1/15,VA,VA-600,Unsheltered Homeless,39
1/1/15,VA,VA-600,Unsheltered Homeless Individuals,39
1/1/15,VA,VA-600,Unsheltered Homeless People in Families,0
1/1/15,VA,VA-600,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-600,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,VA,VA-600,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,VA,VA-600,Unsheltered Homeless Veterans,7
1/1/15,VA,VA-600,Unsheltered Parenting Youth (Under 25),0
1/1/15,VA,VA-600,Unsheltered Parenting Youth Age 18-24,0
1/1/15,VA,VA-600,Unsheltered Parenting Youth Under 18,0
1/1/15,VA,VA-601,Children of Parenting Youth,38
1/1/15,VA,VA-601,Chronically Homeless,219
1/1/15,VA,VA-601,Chronically Homeless Individuals,203
1/1/15,VA,VA-601,Chronically Homeless People in Families,16
1/1/15,VA,VA-601,Homeless Individuals,489
1/1/15,VA,VA-601,Homeless People in Families,715
1/1/15,VA,VA-601,Homeless Unaccompanied Children (Under 18),1
1/1/15,VA,VA-601,Homeless Unaccompanied Young Adults (Age 18-24),52
1/1/15,VA,VA-601,Homeless Unaccompanied Youth (Under 25),53
1/1/15,VA,VA-601,Homeless Veterans,46
1/1/15,VA,VA-601,Parenting Youth (Under 25),29
1/1/15,VA,VA-601,Parenting Youth Age 18-24,29
1/1/15,VA,VA-601,Parenting Youth Under 18,0
1/1/15,VA,VA-601,Sheltered Children of Parenting Youth,38
1/1/15,VA,VA-601,Sheltered Chronically Homeless,171
1/1/15,VA,VA-601,Sheltered Chronically Homeless Individuals,155
1/1/15,VA,VA-601,Sheltered Chronically Homeless People in Families,16
1/1/15,VA,VA-601,Sheltered Homeless,"1,136"
1/1/15,VA,VA-601,Sheltered Homeless Individuals,421
1/1/15,VA,VA-601,Sheltered Homeless People in Families,715
1/1/15,VA,VA-601,Sheltered Homeless Unaccompanied Children (Under 18),1
1/1/15,VA,VA-601,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),48
1/1/15,VA,VA-601,Sheltered Homeless Unaccompanied Youth (Under 25),49
1/1/15,VA,VA-601,Sheltered Homeless Veterans,41
1/1/15,VA,VA-601,Sheltered Parenting Youth (Under 25),29
1/1/15,VA,VA-601,Sheltered Parenting Youth Age 18-24,29
1/1/15,VA,VA-601,Sheltered Parenting Youth Under 18,0
1/1/15,VA,VA-601,Total Homeless,"1,204"
1/1/15,VA,VA-601,Unsheltered Children of Parenting Youth,0
1/1/15,VA,VA-601,Unsheltered Chronically Homeless,48
1/1/15,VA,VA-601,Unsheltered Chronically Homeless Individuals,48
1/1/15,VA,VA-601,Unsheltered Chronically Homeless People in Families,0
1/1/15,VA,VA-601,Unsheltered Homeless,68
1/1/15,VA,VA-601,Unsheltered Homeless Individuals,68
1/1/15,VA,VA-601,Unsheltered Homeless People in Families,0
1/1/15,VA,VA-601,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-601,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),4
1/1/15,VA,VA-601,Unsheltered Homeless Unaccompanied Youth (Under 25),4
1/1/15,VA,VA-601,Unsheltered Homeless Veterans,5
1/1/15,VA,VA-601,Unsheltered Parenting Youth (Under 25),0
1/1/15,VA,VA-601,Unsheltered Parenting Youth Age 18-24,0
1/1/15,VA,VA-601,Unsheltered Parenting Youth Under 18,0
1/1/15,VA,VA-602,Children of Parenting Youth,3
1/1/15,VA,VA-602,Chronically Homeless,20
1/1/15,VA,VA-602,Chronically Homeless Individuals,18
1/1/15,VA,VA-602,Chronically Homeless People in Families,2
1/1/15,VA,VA-602,Homeless Individuals,80
1/1/15,VA,VA-602,Homeless People in Families,92
1/1/15,VA,VA-602,Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-602,Homeless Unaccompanied Young Adults (Age 18-24),7
1/1/15,VA,VA-602,Homeless Unaccompanied Youth (Under 25),7
1/1/15,VA,VA-602,Homeless Veterans,5
1/1/15,VA,VA-602,Parenting Youth (Under 25),3
1/1/15,VA,VA-602,Parenting Youth Age 18-24,3
1/1/15,VA,VA-602,Parenting Youth Under 18,0
1/1/15,VA,VA-602,Sheltered Children of Parenting Youth,3
1/1/15,VA,VA-602,Sheltered Chronically Homeless,10
1/1/15,VA,VA-602,Sheltered Chronically Homeless Individuals,8
1/1/15,VA,VA-602,Sheltered Chronically Homeless People in Families,2
1/1/15,VA,VA-602,Sheltered Homeless,133
1/1/15,VA,VA-602,Sheltered Homeless Individuals,41
1/1/15,VA,VA-602,Sheltered Homeless People in Families,92
1/1/15,VA,VA-602,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-602,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),2
1/1/15,VA,VA-602,Sheltered Homeless Unaccompanied Youth (Under 25),2
1/1/15,VA,VA-602,Sheltered Homeless Veterans,1
1/1/15,VA,VA-602,Sheltered Parenting Youth (Under 25),3
1/1/15,VA,VA-602,Sheltered Parenting Youth Age 18-24,3
1/1/15,VA,VA-602,Sheltered Parenting Youth Under 18,0
1/1/15,VA,VA-602,Total Homeless,172
1/1/15,VA,VA-602,Unsheltered Children of Parenting Youth,0
1/1/15,VA,VA-602,Unsheltered Chronically Homeless,10
1/1/15,VA,VA-602,Unsheltered Chronically Homeless Individuals,10
1/1/15,VA,VA-602,Unsheltered Chronically Homeless People in Families,0
1/1/15,VA,VA-602,Unsheltered Homeless,39
1/1/15,VA,VA-602,Unsheltered Homeless Individuals,39
1/1/15,VA,VA-602,Unsheltered Homeless People in Families,0
1/1/15,VA,VA-602,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-602,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),5
1/1/15,VA,VA-602,Unsheltered Homeless Unaccompanied Youth (Under 25),5
1/1/15,VA,VA-602,Unsheltered Homeless Veterans,4
1/1/15,VA,VA-602,Unsheltered Parenting Youth (Under 25),0
1/1/15,VA,VA-602,Unsheltered Parenting Youth Age 18-24,0
1/1/15,VA,VA-602,Unsheltered Parenting Youth Under 18,0
1/1/15,VA,VA-603,Children of Parenting Youth,17
1/1/15,VA,VA-603,Chronically Homeless,54
1/1/15,VA,VA-603,Chronically Homeless Individuals,48
1/1/15,VA,VA-603,Chronically Homeless People in Families,6
1/1/15,VA,VA-603,Homeless Individuals,159
1/1/15,VA,VA-603,Homeless People in Families,108
1/1/15,VA,VA-603,Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-603,Homeless Unaccompanied Young Adults (Age 18-24),6
1/1/15,VA,VA-603,Homeless Unaccompanied Youth (Under 25),6
1/1/15,VA,VA-603,Homeless Veterans,12
1/1/15,VA,VA-603,Parenting Youth (Under 25),10
1/1/15,VA,VA-603,Parenting Youth Age 18-24,10
1/1/15,VA,VA-603,Parenting Youth Under 18,0
1/1/15,VA,VA-603,Sheltered Children of Parenting Youth,17
1/1/15,VA,VA-603,Sheltered Chronically Homeless,38
1/1/15,VA,VA-603,Sheltered Chronically Homeless Individuals,32
1/1/15,VA,VA-603,Sheltered Chronically Homeless People in Families,6
1/1/15,VA,VA-603,Sheltered Homeless,244
1/1/15,VA,VA-603,Sheltered Homeless Individuals,136
1/1/15,VA,VA-603,Sheltered Homeless People in Families,108
1/1/15,VA,VA-603,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-603,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),6
1/1/15,VA,VA-603,Sheltered Homeless Unaccompanied Youth (Under 25),6
1/1/15,VA,VA-603,Sheltered Homeless Veterans,10
1/1/15,VA,VA-603,Sheltered Parenting Youth (Under 25),10
1/1/15,VA,VA-603,Sheltered Parenting Youth Age 18-24,10
1/1/15,VA,VA-603,Sheltered Parenting Youth Under 18,0
1/1/15,VA,VA-603,Total Homeless,267
1/1/15,VA,VA-603,Unsheltered Children of Parenting Youth,0
1/1/15,VA,VA-603,Unsheltered Chronically Homeless,16
1/1/15,VA,VA-603,Unsheltered Chronically Homeless Individuals,16
1/1/15,VA,VA-603,Unsheltered Chronically Homeless People in Families,0
1/1/15,VA,VA-603,Unsheltered Homeless,23
1/1/15,VA,VA-603,Unsheltered Homeless Individuals,23
1/1/15,VA,VA-603,Unsheltered Homeless People in Families,0
1/1/15,VA,VA-603,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-603,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,VA,VA-603,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,VA,VA-603,Unsheltered Homeless Veterans,2
1/1/15,VA,VA-603,Unsheltered Parenting Youth (Under 25),0
1/1/15,VA,VA-603,Unsheltered Parenting Youth Age 18-24,0
1/1/15,VA,VA-603,Unsheltered Parenting Youth Under 18,0
1/1/15,VA,VA-604,Children of Parenting Youth,19
1/1/15,VA,VA-604,Chronically Homeless,70
1/1/15,VA,VA-604,Chronically Homeless Individuals,67
1/1/15,VA,VA-604,Chronically Homeless People in Families,3
1/1/15,VA,VA-604,Homeless Individuals,185
1/1/15,VA,VA-604,Homeless People in Families,224
1/1/15,VA,VA-604,Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-604,Homeless Unaccompanied Young Adults (Age 18-24),20
1/1/15,VA,VA-604,Homeless Unaccompanied Youth (Under 25),20
1/1/15,VA,VA-604,Homeless Veterans,18
1/1/15,VA,VA-604,Parenting Youth (Under 25),10
1/1/15,VA,VA-604,Parenting Youth Age 18-24,10
1/1/15,VA,VA-604,Parenting Youth Under 18,0
1/1/15,VA,VA-604,Sheltered Children of Parenting Youth,19
1/1/15,VA,VA-604,Sheltered Chronically Homeless,23
1/1/15,VA,VA-604,Sheltered Chronically Homeless Individuals,20
1/1/15,VA,VA-604,Sheltered Chronically Homeless People in Families,3
1/1/15,VA,VA-604,Sheltered Homeless,319
1/1/15,VA,VA-604,Sheltered Homeless Individuals,101
1/1/15,VA,VA-604,Sheltered Homeless People in Families,218
1/1/15,VA,VA-604,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-604,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),14
1/1/15,VA,VA-604,Sheltered Homeless Unaccompanied Youth (Under 25),14
1/1/15,VA,VA-604,Sheltered Homeless Veterans,12
1/1/15,VA,VA-604,Sheltered Parenting Youth (Under 25),10
1/1/15,VA,VA-604,Sheltered Parenting Youth Age 18-24,10
1/1/15,VA,VA-604,Sheltered Parenting Youth Under 18,0
1/1/15,VA,VA-604,Total Homeless,409
1/1/15,VA,VA-604,Unsheltered Children of Parenting Youth,0
1/1/15,VA,VA-604,Unsheltered Chronically Homeless,47
1/1/15,VA,VA-604,Unsheltered Chronically Homeless Individuals,47
1/1/15,VA,VA-604,Unsheltered Chronically Homeless People in Families,0
1/1/15,VA,VA-604,Unsheltered Homeless,90
1/1/15,VA,VA-604,Unsheltered Homeless Individuals,84
1/1/15,VA,VA-604,Unsheltered Homeless People in Families,6
1/1/15,VA,VA-604,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VA,VA-604,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),6
1/1/15,VA,VA-604,Unsheltered Homeless Unaccompanied Youth (Under 25),6
1/1/15,VA,VA-604,Unsheltered Homeless Veterans,6
1/1/15,VA,VA-604,Unsheltered Parenting Youth (Under 25),0
1/1/15,VA,VA-604,Unsheltered Parenting Youth Age 18-24,0
1/1/15,VA,VA-604,Unsheltered Parenting Youth Under 18,0
1/1/15,VI,VI-500,Children of Parenting Youth,0
1/1/15,VI,VI-500,Chronically Homeless,22
1/1/15,VI,VI-500,Chronically Homeless Individuals,22
1/1/15,VI,VI-500,Chronically Homeless People in Families,0
1/1/15,VI,VI-500,Homeless Individuals,308
1/1/15,VI,VI-500,Homeless People in Families,29
1/1/15,VI,VI-500,Homeless Unaccompanied Children (Under 18),0
1/1/15,VI,VI-500,Homeless Unaccompanied Young Adults (Age 18-24),12
1/1/15,VI,VI-500,Homeless Unaccompanied Youth (Under 25),12
1/1/15,VI,VI-500,Homeless Veterans,34
1/1/15,VI,VI-500,Parenting Youth (Under 25),0
1/1/15,VI,VI-500,Parenting Youth Age 18-24,0
1/1/15,VI,VI-500,Parenting Youth Under 18,0
1/1/15,VI,VI-500,Sheltered Children of Parenting Youth,0
1/1/15,VI,VI-500,Sheltered Chronically Homeless,4
1/1/15,VI,VI-500,Sheltered Chronically Homeless Individuals,4
1/1/15,VI,VI-500,Sheltered Chronically Homeless People in Families,0
1/1/15,VI,VI-500,Sheltered Homeless,85
1/1/15,VI,VI-500,Sheltered Homeless Individuals,56
1/1/15,VI,VI-500,Sheltered Homeless People in Families,29
1/1/15,VI,VI-500,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VI,VI-500,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),4
1/1/15,VI,VI-500,Sheltered Homeless Unaccompanied Youth (Under 25),4
1/1/15,VI,VI-500,Sheltered Homeless Veterans,4
1/1/15,VI,VI-500,Sheltered Parenting Youth (Under 25),0
1/1/15,VI,VI-500,Sheltered Parenting Youth Age 18-24,0
1/1/15,VI,VI-500,Sheltered Parenting Youth Under 18,0
1/1/15,VI,VI-500,Total Homeless,337
1/1/15,VI,VI-500,Unsheltered Children of Parenting Youth,0
1/1/15,VI,VI-500,Unsheltered Chronically Homeless,18
1/1/15,VI,VI-500,Unsheltered Chronically Homeless Individuals,18
1/1/15,VI,VI-500,Unsheltered Chronically Homeless People in Families,0
1/1/15,VI,VI-500,Unsheltered Homeless,252
1/1/15,VI,VI-500,Unsheltered Homeless Individuals,252
1/1/15,VI,VI-500,Unsheltered Homeless People in Families,0
1/1/15,VI,VI-500,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VI,VI-500,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),8
1/1/15,VI,VI-500,Unsheltered Homeless Unaccompanied Youth (Under 25),8
1/1/15,VI,VI-500,Unsheltered Homeless Veterans,30
1/1/15,VI,VI-500,Unsheltered Parenting Youth (Under 25),0
1/1/15,VI,VI-500,Unsheltered Parenting Youth Age 18-24,0
1/1/15,VI,VI-500,Unsheltered Parenting Youth Under 18,0
1/1/15,VT,VT-500,Children of Parenting Youth,33
1/1/15,VT,VT-500,Chronically Homeless,65
1/1/15,VT,VT-500,Chronically Homeless Individuals,43
1/1/15,VT,VT-500,Chronically Homeless People in Families,22
1/1/15,VT,VT-500,Homeless Individuals,572
1/1/15,VT,VT-500,Homeless People in Families,480
1/1/15,VT,VT-500,Homeless Unaccompanied Children (Under 18),2
1/1/15,VT,VT-500,Homeless Unaccompanied Young Adults (Age 18-24),60
1/1/15,VT,VT-500,Homeless Unaccompanied Youth (Under 25),62
1/1/15,VT,VT-500,Homeless Veterans,94
1/1/15,VT,VT-500,Parenting Youth (Under 25),32
1/1/15,VT,VT-500,Parenting Youth Age 18-24,31
1/1/15,VT,VT-500,Parenting Youth Under 18,1
1/1/15,VT,VT-500,Sheltered Children of Parenting Youth,33
1/1/15,VT,VT-500,Sheltered Chronically Homeless,53
1/1/15,VT,VT-500,Sheltered Chronically Homeless Individuals,31
1/1/15,VT,VT-500,Sheltered Chronically Homeless People in Families,22
1/1/15,VT,VT-500,Sheltered Homeless,984
1/1/15,VT,VT-500,Sheltered Homeless Individuals,504
1/1/15,VT,VT-500,Sheltered Homeless People in Families,480
1/1/15,VT,VT-500,Sheltered Homeless Unaccompanied Children (Under 18),2
1/1/15,VT,VT-500,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),52
1/1/15,VT,VT-500,Sheltered Homeless Unaccompanied Youth (Under 25),54
1/1/15,VT,VT-500,Sheltered Homeless Veterans,89
1/1/15,VT,VT-500,Sheltered Parenting Youth (Under 25),32
1/1/15,VT,VT-500,Sheltered Parenting Youth Age 18-24,31
1/1/15,VT,VT-500,Sheltered Parenting Youth Under 18,1
1/1/15,VT,VT-500,Total Homeless,"1,052"
1/1/15,VT,VT-500,Unsheltered Children of Parenting Youth,0
1/1/15,VT,VT-500,Unsheltered Chronically Homeless,12
1/1/15,VT,VT-500,Unsheltered Chronically Homeless Individuals,12
1/1/15,VT,VT-500,Unsheltered Chronically Homeless People in Families,0
1/1/15,VT,VT-500,Unsheltered Homeless,68
1/1/15,VT,VT-500,Unsheltered Homeless Individuals,68
1/1/15,VT,VT-500,Unsheltered Homeless People in Families,0
1/1/15,VT,VT-500,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,VT,VT-500,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),8
1/1/15,VT,VT-500,Unsheltered Homeless Unaccompanied Youth (Under 25),8
1/1/15,VT,VT-500,Unsheltered Homeless Veterans,5
1/1/15,VT,VT-500,Unsheltered Parenting Youth (Under 25),0
1/1/15,VT,VT-500,Unsheltered Parenting Youth Age 18-24,0
1/1/15,VT,VT-500,Unsheltered Parenting Youth Under 18,0
1/1/15,VT,VT-501,Children of Parenting Youth,2
1/1/15,VT,VT-501,Chronically Homeless,101
1/1/15,VT,VT-501,Chronically Homeless Individuals,96
1/1/15,VT,VT-501,Chronically Homeless People in Families,5
1/1/15,VT,VT-501,Homeless Individuals,338
1/1/15,VT,VT-501,Homeless People in Families,133
1/1/15,VT,VT-501,Homeless Unaccompanied Children (Under 18),2
1/1/15,VT,VT-501,Homeless Unaccompanied Young Adults (Age 18-24),37
1/1/15,VT,VT-501,Homeless Unaccompanied Youth (Under 25),39
1/1/15,VT,VT-501,Homeless Veterans,25
1/1/15,VT,VT-501,Parenting Youth (Under 25),2
1/1/15,VT,VT-501,Parenting Youth Age 18-24,2
1/1/15,VT,VT-501,Parenting Youth Under 18,0
1/1/15,VT,VT-501,Sheltered Children of Parenting Youth,2
1/1/15,VT,VT-501,Sheltered Chronically Homeless,58
1/1/15,VT,VT-501,Sheltered Chronically Homeless Individuals,53
1/1/15,VT,VT-501,Sheltered Chronically Homeless People in Families,5
1/1/15,VT,VT-501,Sheltered Homeless,389
1/1/15,VT,VT-501,Sheltered Homeless Individuals,271
1/1/15,VT,VT-501,Sheltered Homeless People in Families,118
1/1/15,VT,VT-501,Sheltered Homeless Unaccompanied Children (Under 18),1
1/1/15,VT,VT-501,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),32
1/1/15,VT,VT-501,Sheltered Homeless Unaccompanied Youth (Under 25),33
1/1/15,VT,VT-501,Sheltered Homeless Veterans,24
1/1/15,VT,VT-501,Sheltered Parenting Youth (Under 25),2
1/1/15,VT,VT-501,Sheltered Parenting Youth Age 18-24,2
1/1/15,VT,VT-501,Sheltered Parenting Youth Under 18,0
1/1/15,VT,VT-501,Total Homeless,471
1/1/15,VT,VT-501,Unsheltered Children of Parenting Youth,0
1/1/15,VT,VT-501,Unsheltered Chronically Homeless,43
1/1/15,VT,VT-501,Unsheltered Chronically Homeless Individuals,43
1/1/15,VT,VT-501,Unsheltered Chronically Homeless People in Families,0
1/1/15,VT,VT-501,Unsheltered Homeless,82
1/1/15,VT,VT-501,Unsheltered Homeless Individuals,67
1/1/15,VT,VT-501,Unsheltered Homeless People in Families,15
1/1/15,VT,VT-501,Unsheltered Homeless Unaccompanied Children (Under 18),1
1/1/15,VT,VT-501,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),5
1/1/15,VT,VT-501,Unsheltered Homeless Unaccompanied Youth (Under 25),6
1/1/15,VT,VT-501,Unsheltered Homeless Veterans,1
1/1/15,VT,VT-501,Unsheltered Parenting Youth (Under 25),0
1/1/15,VT,VT-501,Unsheltered Parenting Youth Age 18-24,0
1/1/15,VT,VT-501,Unsheltered Parenting Youth Under 18,0
1/1/15,WA,WA-500,Children of Parenting Youth,149
1/1/15,WA,WA-500,Chronically Homeless,823
1/1/15,WA,WA-500,Chronically Homeless Individuals,812
1/1/15,WA,WA-500,Chronically Homeless People in Families,11
1/1/15,WA,WA-500,Homeless Individuals,"7,053"
1/1/15,WA,WA-500,Homeless People in Families,"3,069"
1/1/15,WA,WA-500,Homeless Unaccompanied Children (Under 18),42
1/1/15,WA,WA-500,Homeless Unaccompanied Young Adults (Age 18-24),659
1/1/15,WA,WA-500,Homeless Unaccompanied Youth (Under 25),701
